latlong|country|region|postcode|city|address
52.56345, 93.98018|United Kingdom|GL|J3Q 3OP|Merthyr Tydfil|370-3715 Ultrices Ave
37.86351, 40.10597|United Kingdom|Buckinghamshire|N3Z 7LL|High Wycombe|Ap #927-2589 Tristique Street
31.86206, 134.04322|United Kingdom|PE|JR5L 4EX|Crieff|877-8428 Vitae, St.
41.60581, 131.26761|United Kingdom|WL|Q35 4ET|Broxburn|837-8468 Eget Av.
31.20636, -77.95539|United Kingdom|LI|UI9 5MO|Louth|Ap #787-4976 Ut, Road
-0.09378, -32.53164|United Kingdom|CA|IU2 9QC|Ely|4518 Libero Avenue
-6.40312, -134.21356|United Kingdom|Leicestershire|E2 0VK|Lutterworth|440-678 Risus. St.
17.88646, -20.24447|United Kingdom|Argyllshire|UD7R 0VS|Oban|904-4081 At Av.
-45.03316, -50.29455|United Kingdom|HU|Y0 2BD|Huntingdon|5579 Vel, Rd.
-59.20912, -145.67984|United Kingdom|Stirlingshire|Y5 2OM|Grangemouth|P.O. Box 268, 1507 Penatibus St.
-72.97008, 147.64404|United Kingdom|Nairnshire|B1U 6KN|Cawdor|P.O. Box 809, 527 Convallis Street
44.65825, 103.74367|United Kingdom|Staffordshire|SA6 1NH|Walsall|417-2357 Tellus Street
29.76214, 128.23306|United Kingdom|WI|KA46 4ZP|Swindon|Ap #756-6549 Adipiscing St.
82.35153, -122.3877|United Kingdom|LI|ZX0O 8AD|Grimsby|905-9361 Urna. St.
24.13243, 93.09745|United Kingdom|CA|G92 6MP|Wick|6067 Felis Street
-0.88908, 145.78766|United Kingdom|Pembrokeshire|O17 5VS|Tenby|Ap #741-9717 Facilisis Street
11.06964, -125.49982|United Kingdom|Somerset|SF2 4TY|Taunton|6222 Ipsum Rd.
20.3872, -11.26912|United Kingdom|ME|U8 6DD|Barmouth|378-7913 Erat Avenue
-2.09056, -94.64466|United Kingdom|KR|S4 7KR|Milnathort|787-5726 Ac St.
72.05783, 89.40666|United Kingdom|WI|W4 2ES|Stranraer|P.O. Box 847, 6574 Ornare. Avenue
-85.14834, 141.7597|United Kingdom|Surrey|NW3W 1QM|Guildford|P.O. Box 489, 6198 Sed Rd.
54.54299, 167.08739|United Kingdom|CG|P2Q 8EA|New Quay|P.O. Box 356, 977 Dolor, Av.
69.93651, 152.98846|United Kingdom|SA|SG33 2UG|Telford|357-529 Diam St.
85.00271, 119.98944|United Kingdom|Anglesey|YU6 4LC|Llangefni|P.O. Box 616, 7866 Morbi St.
74.87138, 119.7572|United Kingdom|Norfolk|WB3O 5TR|King's Lynn|139-1400 Pellentesque St.
15.83281, 138.98397|United Kingdom|NT|R6 0WR|Corby|923-7029 Sit St.
-62.98567, 178.87405|United Kingdom|ML|QD6 9CY|Edinburgh|5026 Purus. Avenue
35.32524, -125.74981|United Kingdom|Cambridgeshire|A3 5FI|Wisbech|P.O. Box 662, 7281 Et St.
-89.62157, -125.9967|United Kingdom|CH|OP37 5KK|Chester|Ap #693-2837 Diam. Avenue
16.3625, 120.31428|United Kingdom|Nairnshire|I3D 4WW|Auldearn|7914 Erat. Rd.
-0.53891, 145.54645|United Kingdom|BE|TF63 8HA|Eyemouth|8252 Senectus Rd.
-75.34854, 74.27779|United Kingdom|Pembrokeshire|RS40 5NI|Haverfordwest|781-5318 Eget Ave
-22.47042, 135.16566|United Kingdom|BR|K6X 4VC|Newbury|Ap #727-9358 Fringilla Avenue
-20.91878, 149.40861|United Kingdom|BR|AI6R 3PK|Hay-on-Wye|2275 Massa. St.
50.76203, -51.92509|United Kingdom|SR|D68 9LI|Wandsworth|936-2670 Amet, Road
-19.14433, 19.86825|United Kingdom|Northumberland|RG0M 9JU|Berwick-upon-Tweed|P.O. Box 688, 2844 Natoque Rd.
22.48755, 9.9957|United Kingdom|Orkney|E8 9JZ|Kirkwall|P.O. Box 605, 5737 Nullam Rd.
64.42344, -19.14168|United Kingdom|LE|P9 0ZM|Hinckley|P.O. Box 150, 560 Faucibus Avenue
64.68197, 131.78076|United Kingdom|Cumberland|VU47 7XY|Carlisle|7666 Purus, Ave
59.27059, 134.92774|United Kingdom|Norfolk|XA51 7SJ|Dereham|3486 Vulputate, Ave
40.58104, 82.41664|United Kingdom|BD|M4 7NU|Leighton Buzzard|P.O. Box 276, 5043 Non, Av.
11.19341, 10.53094|United Kingdom|FI|YT52 8YZ|Burntisland|974-8903 Imperdiet Street
-58.06446, -26.30496|United Kingdom|Cumberland|W35 4YZ|Workington|Ap #637-9519 Mi. Rd.
3.44608, 66.65702|United Kingdom|GL|PX2A 9DM|Merthyr Tydfil|138-6884 Ornare. Ave
16.74249, -81.86727|United Kingdom|LI|T19 7HL|Grimsby|Ap #794-471 Vitae Street
63.11267, 157.67956|United Kingdom|KK|DQ7K 9EH|New Galloway|Ap #694-3116 Auctor, St.
10.59485, -13.11844|United Kingdom|Morayshire|B09 1SB|Forres|P.O. Box 620, 3482 Quisque St.
60.50271, -91.942|United Kingdom|AR|SO95 3RX|Lochgilphead|P.O. Box 158, 219 Nec, Av.
84.75702, -122.8355|United Kingdom|PE|EK06 0WD|Crieff|Ap #170-6431 Libero Road
80.40392, -82.88131|United Kingdom|FI|K79 7KT|Cupar|8159 Tellus Avenue
14.55479, 49.16294|United Kingdom|ST|NH4 2ET|Cannock|Ap #657-9165 Aliquet Rd.
7.68527, 129.28322|United Kingdom|FL|HU87 0EP|Mold|4895 Ultrices St.
82.0727, -13.09933|United Kingdom|Hertfordshire|U3 6ZS|Hemel Hempstead|P.O. Box 512, 2963 Sed Street
50.56993, -119.80681|United Kingdom|Orkney|B0 5IO|Balfour|Ap #854-1078 Condimentum. St.
86.91591, -126.85165|United Kingdom|BR|GW0B 2LI|Bracknell|185-2795 Suspendisse St.
-1.31732, -162.86061|United Kingdom|SR|IZ6 3JK|Brixton|5800 Mauris Rd.
49.07813, 162.89669|United Kingdom|DF|VD99 5AI|Lockerbie|146-1430 Metus Street
-36.50806, -89.54357|United Kingdom|Denbighshire|AN3 3MP|Llangollen|1298 Elementum, Ave
-0.91555, -95.40307|United Kingdom|DU|NI1U 3YD|Washington|Ap #163-3925 Nibh Road
-79.48774, -99.58644|United Kingdom|RU|J00 2DR|Oakham|P.O. Box 380, 8714 Cras Street
16.91467, -173.90672|United Kingdom|DB|UW4F 0EP|Glossop|Ap #499-514 Lacus. Avenue
7.0839, 158.31679|United Kingdom|Kirkcudbrightshire|R72 7ZD|New Galloway|2723 Semper St.
45.57496, 62.75824|United Kingdom|Roxburghshire|U3 6UE|Melrose|Ap #259-318 Dolor. Street
-61.73884, -117.42176|United Kingdom|CA|ND2 5DZ|Wisbech|P.O. Box 793, 4658 Non, Rd.
50.90407, 77.34706|United Kingdom|Kinross-shire|R89 9AJ|Kinross|308-7353 In Rd.
70.16011, -0.53684|United Kingdom|Angus|V1C 0XO|Kirriemuir|P.O. Box 539, 4384 Molestie Rd.
35.46233, 95.72235|United Kingdom|ST|FQ8D 1RH|Cannock|983-3076 Molestie St.
-20.92934, -164.03417|United Kingdom|Anglesey|CO4Y 2EB|Llangefni|513-5015 Ac Avenue
-68.89029, -175.18728|United Kingdom|Berwickshire|K8 4LL|Greenlaw|6882 Sem Av.
-75.70084, -117.83948|United Kingdom|FL|Y02 3MN|Connah's Quay|P.O. Box 968, 5065 Velit. Street
9.0044, 99.91899|United Kingdom|Worcestershire|H5T 9CY|Stourbridge|P.O. Box 328, 8865 Nulla St.
6.81726, -19.67951|United Kingdom|BD|AZ2V 9RT|Sandy|723-2890 Nunc Av.
29.26395, 14.60168|United Kingdom|Stirlingshire|SA4 3ME|Denny|9765 Vulputate Rd.
-75.99669, 84.7483|United Kingdom|Worcestershire|M9 7SK|Evesham|6419 Ipsum Road
7.84575, 75.66682|United Kingdom|Carmarthenshire|S8I 3EI|Llandovery|P.O. Box 817, 4980 Eros Ave
62.06729, 105.59907|United Kingdom|Nottinghamshire|HU43 0CL|Mansfield|6913 Fermentum Road
-18.76132, -36.78971|United Kingdom|CA|YW9A 6VN|Cambridge|766-7120 Libero Street
60.85641, -69.96931|United Kingdom|RA|QV1 6JE|Rhayader|573-378 Cursus St.
-3.32339, 119.93301|United Kingdom|CA|XW2 4MB|March|479-3719 Facilisis Ave
2.01272, 161.47815|United Kingdom|Buckinghamshire|S8 0IA|Milton Keynes|6369 Cras St.
-76.32012, 93.05401|United Kingdom|Selkirkshire|TB1C 3EB|Galashiels|4461 Eget Ave
10.28034, -62.46234|United Kingdom|Cumberland|ZD9B 2GX|Carlisle|Ap #295-3773 Fusce St.
-74.57176, 102.90093|United Kingdom|KK|C9W 4CW|Kircudbright|P.O. Box 847, 7182 Purus. Rd.
83.7171, -159.9822|United Kingdom|Huntingdonshire|YP16 6VX|Yaxley|P.O. Box 432, 993 Felis. St.
-3.59177, -116.35584|United Kingdom|Ross-shire|HB0 2EG|Stornaway|Ap #856-5917 Velit St.
59.25808, -99.3251|United Kingdom|Kirkcudbrightshire|V1V 5IQ|Castle Douglas|825-5708 Praesent Road
74.91501, -169.34592|United Kingdom|DB|Q18 3ZQ|Ashbourne|P.O. Box 550, 7904 Sem St.
-50.44107, 176.73893|United Kingdom|KE|P2 7LJ|Maidstone|929-9178 Natoque St.
1.17842, 112.85418|United Kingdom|Huntingdonshire|BT60 2PR|Huntingdon|6551 Egestas Ave
-48.40704, 172.2017|United Kingdom|Montgomeryshire|Q96 0YE|Welshpool|P.O. Box 433, 5634 Posuere Street
67.38279, 15.39998|United Kingdom|Dunbartonshire|EH94 1JD|Alexandria|P.O. Box 534, 8775 Dolor. Road
-43.75202, 147.00051|United Kingdom|BE|S74 1TZ|Lauder|511-6182 Condimentum Rd.
-50.7855, 155.01828|United Kingdom|DN|ZY77 0UE|Cumbernauld|Ap #542-563 Arcu. St.
-89.67992, -115.90567|United Kingdom|HA|AU3S 1MX|Newport|Ap #330-6879 Molestie Road
80.9085, 54.93806|United Kingdom|DO|WQ3A 2RR|Dorchester|3331 Dui. Road
-4.38923, 130.29427|United Kingdom|Surrey|UO3 1NO|Wandsworth|2422 At Avenue
-57.18856, -69.80053|United Kingdom|West Lothian|V78 4LA|Armadale|P.O. Box 129, 1557 Libero Rd.
15.83136, 21.45517|United Kingdom|Oxfordshire|F2C 5UR|Banbury|P.O. Box 461, 1243 Vulputate St.
72.73595, -38.63545|United Kingdom|Ross-shire|X83 5XC|Tain|Ap #615-3955 Dignissim St.
-27.37547, -156.21357|United Kingdom|KR|MH4J 8SY|Milnathort|4377 Est Avenue
